IRD parameter (milliseconds),CSET parameter (milliseconds),Mean messages,Mean average response time,Mean throughput
100,100,786.6666667,3365,6.666666667
100,16,628,1441,13.66666667
100,33,653.3333333,1789,11.33333333
100,50,689.3333333,2217.666667,10
100,66,758.6666667,2449.666667,8.666666667
100,83,764,2898,7.333333333
16,100,578.6666667,3177.666667,7.333333333
16,16,347.3333333,947,19
16,33,414.6666667,1408.333333,14.66666667
16,50,448,1791,12
16,66,482.6666667,2271.666667,10.33333333
16,83,540,2706.333333,9
33,100,649.3333333,3150.666667,7.333333333
33,16,418.6666667,1155,17.66666667
33,33,436,1596.333333,14
33,50,525.3333333,1989.666667,11
33,66,537.3333333,2368.333333,10.33333333
33,83,596,2783.333333,8.666666667
50,100,660,3275.333333,7.333333333
50,16,450.6666667,1240.666667,16.33333333
50,33,509.3333333,1646.666667,13.66666667
50,50,554.6666667,1992,11
50,66,604,2486,9.666666667
50,83,649.3333333,2670.333333,8.666666667
66,100,750.6666667,3307.333333,7
66,16,498.6666667,1359,15.33333333
66,33,566.6666667,1676,12.33333333
66,50,604,2061,11
66,66,654.6666667,2533.666667,9.333333333
66,83,718.6666667,2798.666667,7.666666667
83,100,776,3339.333333,6.666666667
83,16,573.3333333,1413.666667,14.33333333
83,33,609.3333333,1765,12
83,50,661.3333333,2154.333333,10.33333333
83,66,704,2413.333333,9.333333333
83,83,765.3333333,2885.666667,7.666666667
